# See-Gemeinden mit direktem See-Anschluss (Adrians Liste) — Vierwaldstaetter-/Zuger-/Hallwilersee + Agglo.
# Zeile: Name|Geocode-Query. Schon-frische (heute) ueberspringt der Runner.
# --- Hallwilersee ---
Meisterschwanden|Meisterschwanden, Aargau, Switzerland
Hitzkirch|Hitzkirch, Luzern, Switzerland
Sarmenstorf|Sarmenstorf, Aargau, Switzerland
Bettwil|Bettwil, Aargau, Switzerland
Aesch LU|Aesch, Luzern, Switzerland
Schongau|Schongau, Luzern, Switzerland
# --- Vierwaldstaettersee ---
Buochs|Buochs, Nidwalden, Switzerland
Ennetbürgen|Ennetbürgen, Nidwalden, Switzerland
Beckenried|Beckenried, Nidwalden, Switzerland
Emmetten|Emmetten, Nidwalden, Switzerland
Ingenbohl|Ingenbohl, Schwyz, Switzerland
Weggis|Weggis, Luzern, Switzerland
Vitznau|Vitznau, Luzern, Switzerland
Gersau|Gersau, Schwyz, Switzerland
Küssnacht am Rigi|Küssnacht, Schwyz, Switzerland
Arth|Arth, Schwyz, Switzerland
# Immensee = Ortsteil von Kuessnacht am Rigi (keine eigene Gemeinde) -> in Kuessnacht enthalten.
# --- Zugersee ---
Walchwil|Walchwil, Zug, Switzerland
# Oberwil bei Zug = Ortsteil der Stadt Zug (keine eigene Gemeinde) -> waere Zug als Gemeinde aufzunehmen.
# --- Luzern Agglo ---
Adligenswil|Adligenswil, Luzern, Switzerland
Dierikon|Dierikon, Luzern, Switzerland
Rothenburg|Rothenburg, Luzern, Switzerland
Hildisrieden|Hildisrieden, Luzern, Switzerland
Rain|Rain, Luzern, Switzerland
# --- Limmattal / Aargau ---
Dietikon|Dietikon, Zurich, Switzerland
Spreitenbach|Spreitenbach, Aargau, Switzerland
Rheinfelden|Rheinfelden, Aargau, Switzerland
